poste,competences_requises,competences_candidat,experience_requise,experience_candidat,diplome_requis,diplome_candidat,langues_requises,langues_candidat,score_compatibilite
Community Manager,Facebook; Instagram; TikTok; Analytics; Canva,Facebook; Canva,4,3,Master,Licence,Anglais; Français,Français,49.5
UI/UX Designer,Prototypage; Figma; Photoshop; Adobe XD; Illustrator,UX Research; Adobe XD; Illustrator; Photoshop; Figma,4,5,Master,Licence,Français,Français; Anglais,81.5
UI/UX Designer,Prototypage; Adobe XD; Illustrator; UX Research,UX Research,4,2,Licence,Licence,Anglais,Français; Anglais,48.8
UI/UX Designer,Illustrator; Prototypage; Adobe XD; Figma; Photoshop; UX Research,Adobe XD; Figma; Illustrator; Photoshop; UX Research,1,1,Licence,Bac,Anglais,Français,73.3
Developpeur Mobile,Kotlin; Java; Git,Dart; Kotlin; Firebase; Java; Git,4,3,Master,Bac,Français; Anglais,Français; Anglais,87.5
Graphiste,Illustrator; Canva; Typographie; Photoshop; Branding; InDesign,Branding; Canva; Firebase,2,6,Master,Licence,Français,Français,55.8
Graphiste,Typographie; Canva; InDesign; Photoshop; Branding; Illustrator,Branding; Typographie,1,6,Licence,Bac,Français,Français,55.8
Data Analyst,Excel; Power BI; Data Visualization; Python; Pandas; SQL,Python,3,6,Bac,Bac,Anglais; Français,Français; Anglais,54.2
UI/UX Designer,Photoshop; UX Research; Illustrator; Adobe XD; Prototypage; Figma,Illustrator; Adobe XD; UX Research; Figma; Photoshop,3,1,Licence,Bac,Anglais,Français; Anglais,70.0
Chef de projet digital,Agile; ClickUp; Communication; Scrum; Asana; Gestion de projet,Aucune information,4,3,Licence,Licence,Français,Français; Anglais,40.0
Data Analyst,Pandas; Data Visualization; SQL; Excel; Python,Power BI; Python; Excel; Pandas; SQL; Data Visualization,2,1,Licence,Licence,Français,Français; Anglais,90.0
Chef de projet digital,Communication; Asana; Agile; Scrum; ClickUp; Gestion de projet,Agile; Asana; Gestion de projet; Communication; ClickUp; Scrum; Kotlin,3,3,Master,Licence,Français,Français; Anglais,92.5
SEO/SEA,Google Analytics; Google Ads; SEO; Keyword Research; Search Console; SEM,SEO; Google Analytics; Google Ads; SEM; Keyword Research,3,3,Master,Licence,Anglais,Français; Anglais,83.3
SEO/SEA,Keyword Research; Google Ads; SEM; Google Analytics; Search Console,Search Console; Google Ads; SEM; Google Analytics; SEO,1,3,Bac,Bac,Anglais; Français,Français,84.0
UI/UX Designer,UX Research; Photoshop; Adobe XD; Prototypage,Aucune information,4,4,Licence,Licence,Français,Français; Anglais,45.0
Content Manager,Copywriting; Analytics; WordPress; Content Strategy; Canva,Canva; WordPress; Content Strategy; SEO; Copywriting; Analytics,1,3,Master,Master,Français; Anglais,Français; Anglais,100.0
UI/UX Designer,Adobe XD; Figma; Photoshop; Illustrator,Figma; UX Research; Adobe XD,1,3,Licence,Master,Français,Français; Anglais,72.5
Chef de projet digital,Gestion de projet; Communication; Asana; ClickUp; Scrum,Aucune information,3,3,Bac,Bac,Français,Français; Anglais,45.0
Graphiste,Typographie; Branding; Illustrator; Photoshop; Canva; InDesign,Aucune information,2,5,Licence,Master,Français,Français,45.0
Chef de projet digital,ClickUp; Gestion de projet; Scrum,Canva; TikTok,2,7,Licence,Master,Français; Anglais,Français; Anglais,45.0
Developpeur Web,Git; HTML/CSS; JavaScript; PHP; MySQL; Laravel,Git; HTML/CSS; PHP; Laravel; MySQL,4,3,Master,Bac,Français; Anglais,Français; Anglais,78.3
Social Media Manager,Instagram; Meta Ads; Analytics; TikTok; LinkedIn; Facebook,LinkedIn; Instagram; Meta Ads; Analytics; Facebook; TikTok,2,1,Licence,Master,Anglais; Français,Français; Anglais,90.0
Community Manager,Instagram; Copywriting; Facebook; Canva,Copywriting; Facebook; Analytics; Instagram; TikTok; Canva,3,0,Licence,Master,Français; Anglais,Français; Anglais,80.0
Social Media Manager,Meta Ads; TikTok; Instagram,LinkedIn; Facebook; Meta Ads; TikTok; Analytics; Instagram,1,1,Master,Master,Anglais,Français; Anglais,100.0
Social Media Manager,Analytics; TikTok; LinkedIn; Meta Ads,TikTok; Analytics; Instagram; Facebook; Meta Ads,4,3,Master,Bac,Français,Français; Anglais,73.8
Community Manager,Facebook; TikTok; Copywriting; Canva,Copywriting; Canva; Instagram; Facebook; Analytics; TikTok,4,3,Licence,Master,Français,Français,95.0
Chef de projet digital,Agile; Gestion de projet; Communication; ClickUp,Aucune information,3,0,Licence,Master,Français; Anglais,Français,20.0
Content Manager,Analytics; Content Strategy; Copywriting,Aucune information,4,4,Licence,Master,Anglais; Français,Français,40.0
Graphiste,Typographie; InDesign; Canva; Photoshop; Illustrator; Branding,Typographie; Illustrator; InDesign; Photoshop; Canva,1,2,Master,Master,Français,Français,90.8
UI/UX Designer,Figma; Prototypage; Photoshop,Photoshop; UX Research; Prototypage; Figma; Illustrator; Adobe XD,2,4,Licence,Master,Français; Anglais,Français; Anglais,100.0
Content Manager,Copywriting; Analytics; Content Strategy; Canva,Content Strategy; Analytics,2,0,Master,Bac,Français; Anglais,Français,40.0
Developpeur Mobile,Git; Dart; Kotlin,Java; Git; Kotlin; Dart; Firebase,2,3,Licence,Master,Anglais,Français,90.0
SEO/SEA,Google Ads; Keyword Research; Search Console; SEM,SEM; SEO; Google Ads,4,2,Bac,Bac,Français,Français; Anglais,62.5
Developpeur Mobile,Java; Firebase; Flutter; Kotlin; Git,Git; Flutter,1,1,Licence,Master,Anglais; Français,Français; Anglais,67.0
Community Manager,Instagram; Canva; Facebook; Copywriting,Copywriting; TikTok; Canva,3,6,Bac,Licence,Anglais,Français; Anglais,72.5
UI/UX Designer,Illustrator; UX Research; Adobe XD; Photoshop; Prototypage; Figma,Prototypage; Figma,4,3,Licence,Master,Anglais,Français; Anglais,58.3
UI/UX Designer,Prototypage; Photoshop; Figma,Illustrator; Prototypage; Figma; UX Research; Photoshop; Adobe XD,1,1,Bac,Bac,Français,Français,100.0
Developpeur Mobile,Git; Java; Flutter; Dart; Kotlin,Aucune information,3,2,Licence,Licence,Anglais,Français; Anglais,38.3
Data Analyst,Excel; SQL; Pandas; Power BI,Aucune information,1,5,Bac,Bac,Anglais; Français,Français; Anglais,45.0
SEO/SEA,Google Analytics; Google Ads; SEM,Google Ads,3,4,Licence,Bac,Français; Anglais,Français; Anglais,55.8
Developpeur Mobile,Flutter; Firebase; Git; Java; Dart,Dart; Flutter; Firebase; Git; Java; Communication; Copywriting,1,1,Licence,Licence,Anglais,Français; Anglais,100.0
Data Analyst,SQL; Excel; Data Visualization; Python,Power BI; Pandas; Excel; Data Visualization; Python; SQL; UX Research,4,4,Master,Master,Français; Anglais,Français; Anglais,100.0
Graphiste,Photoshop; Illustrator; Typographie; Branding; Canva,Branding; InDesign; Canva; Photoshop; Illustrator,4,2,Master,Master,Français,Français,79.0
Chef de projet digital,Scrum; Asana; Gestion de projet; Agile; Communication,ClickUp; Agile; Gestion de projet; Asana; Excel; Power BI,3,7,Bac,Licence,Français,Français; Anglais,78.0
Developpeur Web,HTML/CSS; PHP; MySQL; Laravel; Git; JavaScript,MySQL; Laravel; Git; Dart; WordPress,2,2,Master,Master,Français,Français,72.5
Developpeur Mobile,Kotlin; Dart; Java; Git; Firebase,Kotlin,1,6,Licence,Licence,Français; Anglais,Français; Anglais,56.0
Data Analyst,Data Visualization; Pandas; SQL; Python,Pandas; SQL,2,4,Master,Bac,Français,Français,65.0
Data Analyst,Data Visualization; Pandas; Power BI; Python; SQL,Aucune information,1,7,Licence,Licence,Anglais; Français,Français; Anglais,45.0
Graphiste,InDesign; Canva; Branding,Photoshop; Branding,3,5,Bac,Bac,Français,Français,63.3
Graphiste,Illustrator; InDesign; Branding; Photoshop,Photoshop; Branding; InDesign; Illustrator; Typographie; Canva,1,2,Bac,Bac,Français,Français,100.0
Graphiste,Branding; Typographie; Canva,Aucune information,1,0,Master,Licence,Français,Français,17.5
Developpeur Mobile,Flutter; Git; Kotlin; Dart,Flutter; Firebase; Git; Dart; InDesign,4,6,Bac,Master,Français,Français,86.2
Chef de projet digital,ClickUp; Communication; Agile; Scrum; Gestion de projet; Asana,JavaScript; Google Ads,3,3,Master,Master,Français,Français; Anglais,45.0
Social Media Manager,LinkedIn; Meta Ads; Analytics; Facebook; TikTok; Instagram,LinkedIn; Meta Ads; TikTok; Instagram,1,4,Bac,Bac,Anglais,Français; Anglais,81.7
Social Media Manager,TikTok; Facebook; Instagram; Meta Ads; Analytics,Instagram; Facebook; TikTok; Meta Ads; Analytics,1,3,Licence,Master,Français; Anglais,Français,95.0
Social Media Manager,LinkedIn; TikTok; Instagram; Facebook; Analytics,Instagram; Analytics; LinkedIn; TikTok; Facebook; SEO; Content Strategy,1,2,Licence,Master,Français,Français; Anglais,100.0
Developpeur Web,PHP; HTML/CSS; MySQL; JavaScript; Git,Aucune information,2,1,Licence,Bac,Français; Anglais,Français; Anglais,27.5
Community Manager,TikTok; Copywriting; Instagram; Facebook,Firebase; Facebook,2,5,Bac,Bac,Anglais,Français; Anglais,58.8
Chef de projet digital,Asana; Communication; Scrum; Gestion de projet,Scrum,4,3,Master,Master,Français,Français; Anglais,53.8
Content Manager,Analytics; SEO; WordPress; Copywriting; Canva; Content Strategy,Copywriting; SEO; Canva; WordPress; Analytics,2,6,Licence,Master,Français,Français; Anglais,90.8
SEO/SEA,SEM; Keyword Research; Search Console; SEO; Google Ads,Keyword Research; SEM,3,6,Master,Master,Anglais; Français,Français; Anglais,67.0
Graphiste,Illustrator; Canva; Typographie; Branding; InDesign; Photoshop,Photoshop,2,4,Licence,Licence,Français,Français,54.2
Developpeur Web,JavaScript; HTML/CSS; MySQL; Laravel; Git; PHP,Git; PHP,4,2,Licence,Master,Anglais; Français,Français; Anglais,53.3
Data Analyst,Excel; SQL; Python,SQL; Excel,1,4,Bac,Bac,Français; Anglais,Français,76.7
Data Analyst,Python; Excel; Pandas; SQL; Power BI,Pandas; SQL; Power BI; Python; Excel,4,3,Master,Licence,Anglais,Français; Anglais,87.5
Data Analyst,Data Visualization; Power BI; Excel; Python; SQL; Pandas,Pandas; Python; Excel,4,4,Master,Master,Français; Anglais,Français; Anglais,72.5
Graphiste,Canva; Typographie; InDesign; Illustrator; Photoshop; Branding,Illustrator; Canva; Photoshop,2,1,Bac,Licence,Français,Français,62.5
Content Manager,Analytics; Copywriting; WordPress; Canva; Content Strategy; SEO,WordPress,1,3,Master,Licence,Français; Anglais,Français; Anglais,46.7
Data Analyst,Power BI; Python; Excel,Python; Facebook,1,1,Bac,Licence,Anglais; Français,Français,58.3
Graphiste,Canva; Typographie; Illustrator; InDesign; Branding,Photoshop,2,3,Master,Bac,Français,Français,37.5
Graphiste,Branding; Canva; Typographie; Illustrator; Photoshop,Typographie; InDesign; Canva; Branding; Photoshop,1,1,Licence,Master,Français,Français,89.0
SEO/SEA,Search Console; Keyword Research; SEO; Google Ads,Keyword Research; Google Analytics; SEO; Search Console; SEM,1,3,Bac,Master,Anglais,Français; Anglais,86.2
Developpeur Mobile,Git; Kotlin; Dart; Java; Flutter,Kotlin; Git; Java; Dart; Firebase,1,3,Licence,Bac,Français,Français; Anglais,81.5
UI/UX Designer,UX Research; Illustrator; Prototypage; Adobe XD; Figma,Illustrator,1,6,Master,Bac,Anglais,Français; Anglais,48.5
Developpeur Mobile,Firebase; Flutter; Git; Java,Git,1,1,Master,Master,Anglais,Français; Anglais,58.8
Chef de projet digital,Communication; Gestion de projet; Agile,Agile; Communication; ClickUp; Gestion de projet,4,5,Master,Bac,Anglais; Français,Français; Anglais,92.5
Developpeur Web,MySQL; Laravel; PHP,Aucune information,2,0,Bac,Licence,Français,Français; Anglais,25.0
Graphiste,Canva; Photoshop; Illustrator; Branding; InDesign; Typographie,InDesign; Photoshop; Canva; Branding; Illustrator; Content Strategy; UX Research,3,5,Bac,Master,Français,Français,90.8
Developpeur Mobile,Git; Firebase; Kotlin; Flutter,Kotlin; Git; Dart; Java; Flutter,2,5,Licence,Licence,Anglais,Français,76.2
Social Media Manager,Meta Ads; Analytics; LinkedIn,Facebook,4,0,Master,Licence,Français,Français; Anglais,17.5
Graphiste,Photoshop; Illustrator; InDesign,Illustrator; Photoshop; Typographie,4,4,Licence,Licence,Français,Français,81.7
Community Manager,Analytics; Facebook; Canva; TikTok; Instagram,Copywriting; Illustrator; Canva,1,5,Bac,Master,Anglais; Français,Français,51.0
SEO/SEA,Google Ads; SEM; SEO; Keyword Research; Search Console,Google Ads; Analytics,1,6,Bac,Bac,Français,Français; Anglais,56.0
Chef de projet digital,Scrum; Communication; Gestion de projet; ClickUp; Agile,ClickUp; Agile,2,5,Licence,Licence,Anglais; Français,Français; Anglais,67.0
SEO/SEA,Google Ads; SEM; SEO; Search Console; Google Analytics; Keyword Research,SEM; Search Console,3,2,Master,Licence,Français,Français; Anglais,49.2
Social Media Manager,Analytics; LinkedIn; Instagram; Facebook,LinkedIn; Analytics; Meta Ads,2,2,Bac,Licence,Anglais,Français; Anglais,72.5
SEO/SEA,SEO; SEM; Google Ads,Search Console; Google Analytics; SEO; Keyword Research; Google Ads,2,5,Licence,Bac,Anglais; Français,Français; Anglais,74.2
Social Media Manager,Analytics; Instagram; TikTok,Meta Ads,4,5,Master,Bac,Anglais,Français; Anglais,37.5
SEO/SEA,Search Console; Keyword Research; SEO; Google Analytics; SEM; Google Ads,Google Analytics; SEM; SEO; Keyword Research,2,6,Licence,Licence,Anglais; Français,Français,76.7
Graphiste,Typographie; InDesign; Photoshop; Canva; Illustrator; Branding,InDesign; Canva; Illustrator; Photoshop; Branding,1,1,Bac,Licence,Français,Français,90.8
Developpeur Mobile,Java; Dart; Kotlin; Flutter; Firebase; Git,Kotlin; Dart; Flutter; Java; Git; Firebase,2,2,Licence,Bac,Anglais; Français,Français; Anglais,92.5
Developpeur Mobile,Flutter; Firebase; Kotlin,Java; Kotlin; Firebase,1,3,Bac,Licence,Français,Français; Anglais,81.7
Social Media Manager,Instagram; TikTok; LinkedIn; Analytics; Facebook,Analytics; LinkedIn; Instagram,3,6,Licence,Master,Français,Français; Anglais,78.0
Chef de projet digital,Gestion de projet; ClickUp; Scrum; Agile; Communication; Asana,ClickUp; Communication; Agile; Scrum,3,7,Bac,Master,Anglais; Français,Français,76.7
SEO/SEA,Keyword Research; Google Ads; Search Console; Google Analytics; SEO,Search Console; Keyword Research; SEM; SEO; Google Ads; Google Analytics,2,4,Licence,Bac,Anglais,Français; Anglais,92.5
Developpeur Mobile,Git; Flutter; Dart,Git; Flutter; Dart; Firebase; Kotlin; Canva; InDesign,3,4,Licence,Master,Français; Anglais,Français; Anglais,100.0
SEO/SEA,Google Ads; Search Console; Google Analytics; SEO; Keyword Research; SEM,Google Analytics; Google Ads; Search Console; Keyword Research,1,0,Bac,Licence,Français; Anglais,Français; Anglais,61.7
SEO/SEA,Google Analytics; Search Console; Google Ads; Keyword Research; SEO; SEM,Google Analytics; Google Ads; SEM; Search Console; Keyword Research; SEO,4,1,Bac,Master,Anglais; Français,Français,80.0
Social Media Manager,Meta Ads; Facebook; TikTok; LinkedIn; Instagram,TikTok; Instagram; Meta Ads; Analytics; Facebook; LinkedIn,2,6,Licence,Bac,Anglais; Français,Français,87.5
UI/UX Designer,Prototypage; Illustrator; Photoshop,Figma; Prototypage; Photoshop,4,1,Master,Master,Anglais; Français,Français,61.7
UI/UX Designer,Prototypage; Figma; Photoshop; Adobe XD; UX Research,Adobe XD,2,1,Licence,Master,Anglais; Français,Français,41.0
Content Manager,Analytics; SEO; Canva,Aucune information,4,3,Master,Bac,Français,Français,32.5
Social Media Manager,Instagram; LinkedIn; Analytics; Facebook; TikTok; Meta Ads,Analytics; Facebook; LinkedIn; TikTok; Instagram; Meta Ads,4,3,Licence,Licence,Français; Anglais,Français; Anglais,95.0
Developpeur Mobile,Kotlin; Java; Dart; Flutter; Git; Firebase,Kotlin; Git; Firebase,1,0,Master,Licence,Anglais,Français; Anglais,45.0
SEO/SEA,SEM; Keyword Research; Search Console,SEO; Google Ads; Keyword Research; Search Console; SEM,1,0,Master,Bac,Français,Français; Anglais,72.5
UI/UX Designer,Prototypage; Photoshop; Figma,UX Research; Figma; Adobe XD,1,4,Bac,Licence,Anglais; Français,Français,58.3
Content Manager,Analytics; Copywriting; Content Strategy; Canva; WordPress; SEO,Copywriting,1,1,Bac,Bac,Français,Français; Anglais,54.2
Social Media Manager,Instagram; Meta Ads; LinkedIn; Facebook; Analytics,Facebook; TikTok; LinkedIn,3,1,Licence,Master,Anglais,Français; Anglais,53.7
Graphiste,Branding; Typographie; Illustrator; Canva; Photoshop,Illustrator; Photoshop; InDesign; Branding,3,5,Licence,Master,Français,Français,78.0
Social Media Manager,TikTok; Analytics; Meta Ads,Instagram; LinkedIn; Facebook,2,0,Bac,Bac,Français; Anglais,Français; Anglais,25.0
Chef de projet digital,Gestion de projet; Asana; Communication,Asana,3,6,Master,Bac,Français,Français; Anglais,55.8
Content Manager,Canva; Content Strategy; SEO; Analytics; WordPress; Copywriting,Analytics; Copywriting; SEO; Content Strategy; Canva,2,1,Bac,Licence,Anglais; Français,Français,75.8
Community Manager,Canva; Copywriting; Instagram; Analytics; Facebook,Aucune information,3,0,Licence,Bac,Français; Anglais,Français; Anglais,17.5
Community Manager,Facebook; Canva; Instagram; Copywriting; TikTok; Analytics,Canva; Copywriting; TikTok; Facebook; Analytics,4,1,Bac,Master,Français,Français,75.8
Graphiste,Photoshop; InDesign; Illustrator; Branding,Illustrator; InDesign; Photoshop,3,5,Bac,Bac,Français,Français,86.2
Developpeur Mobile,Firebase; Git; Kotlin; Dart; Flutter,Java; Flutter; Git; Firebase; Dart,1,4,Master,Licence,Français; Anglais,Français; Anglais,81.5
Developpeur Web,HTML/CSS; Laravel; Git; JavaScript; PHP,JavaScript; Laravel; Git; PHP,1,0,Licence,Bac,Français; Anglais,Français,56.5
Chef de projet digital,Asana; Communication; Gestion de projet; Scrum; Agile; ClickUp,Communication; ClickUp; Figma; Dart,1,3,Licence,Licence,Français; Anglais,Français; Anglais,63.3
Social Media Manager,Instagram; Analytics; LinkedIn,Analytics; Instagram; TikTok; Meta Ads; LinkedIn; Facebook,3,6,Bac,Bac,Anglais; Français,Français; Anglais,100.0
Developpeur Web,PHP; MySQL; Git; JavaScript,PHP; Git; Laravel,1,5,Licence,Master,Anglais; Français,Français; Anglais,72.5
Developpeur Mobile,Kotlin; Dart; Git; Flutter; Java,Java; Dart; Kotlin; Flutter; Firebase; Git,1,1,Master,Licence,Français,Français; Anglais,92.5
Developpeur Web,Git; JavaScript; MySQL; HTML/CSS; PHP; Laravel,PHP; MySQL; HTML/CSS; Laravel; JavaScript,3,2,Licence,Master,Français; Anglais,Français; Anglais,84.2
Developpeur Web,PHP; HTML/CSS; JavaScript; MySQL,PHP; Git; Laravel; JavaScript,3,2,Bac,Licence,Anglais; Français,Français; Anglais,65.8
Developpeur Web,MySQL; HTML/CSS; JavaScript; Git,Aucune information,3,1,Bac,Master,Français; Anglais,Français,26.7
Content Manager,SEO; Canva; WordPress; Content Strategy,Analytics,3,5,Licence,Licence,Français; Anglais,Français,40.0
Social Media Manager,Analytics; Facebook; LinkedIn; Meta Ads; Instagram; TikTok,Aucune information,1,0,Bac,Master,Français; Anglais,Français; Anglais,25.0
Data Analyst,SQL; Power BI; Pandas,Aucune information,4,0,Licence,Master,Français; Anglais,Français; Anglais,25.0
Community Manager,TikTok; Analytics; Facebook; Canva,Aucune information,2,2,Bac,Bac,Anglais,Français; Anglais,45.0
Graphiste,Branding; Photoshop; Typographie; InDesign,Aucune information,3,4,Master,Licence,Français,Français,37.5
Content Manager,Copywriting; WordPress; Content Strategy; SEO; Canva,Analytics; Canva; Copywriting; Content Strategy; WordPress,3,1,Bac,Licence,Français; Anglais,Français; Anglais,75.7
SEO/SEA,SEM; Google Ads; Search Console; Keyword Research,SEM,2,1,Licence,Master,Anglais,Français; Anglais,48.8
Community Manager,TikTok; Instagram; Copywriting,Facebook,4,3,Master,Master,Français,Français,40.0
Data Analyst,Data Visualization; Python; Pandas; SQL,Data Visualization; Python; SQL; Pandas; Excel; Power BI; Google Analytics; PHP,4,0,Bac,Bac,Français,Français; Anglais,80.0
Developpeur Mobile,Dart; Git; Java; Flutter,Aucune information,3,2,Licence,Master,Français; Anglais,Français; Anglais,38.3
Developpeur Web,JavaScript; MySQL; PHP,Illustrator,4,2,Bac,Master,Français,Français; Anglais,35.0
Developpeur Mobile,Dart; Flutter; Kotlin; Java; Git; Firebase,Aucune information,1,4,Master,Bac,Français; Anglais,Français; Anglais,37.5
Content Manager,Analytics; Canva; SEO; Copywriting,Canva; Copywriting,3,6,Master,Master,Anglais; Français,Français,67.5
UI/UX Designer,Photoshop; Adobe XD; Illustrator; Prototypage,Photoshop; Adobe XD; Figma; Prototypage; Illustrator; Copywriting,4,2,Bac,Licence,Anglais,Français; Anglais,90.0
Social Media Manager,Analytics; Instagram; LinkedIn; Meta Ads,Aucune information,4,3,Master,Master,Français; Anglais,Français; Anglais,40.0
Developpeur Mobile,Firebase; Flutter; Dart; Java,Aucune information,3,2,Master,Bac,Français; Anglais,Français; Anglais,30.8
Data Analyst,SQL; Data Visualization; Pandas; Python; Excel; Power BI,Python; Data Visualization,2,1,Licence,Licence,Anglais,Français,43.3
UI/UX Designer,Adobe XD; Figma; UX Research; Prototypage; Photoshop,Adobe XD; Prototypage; Photoshop; UX Research; Illustrator,4,3,Bac,Master,Anglais,Français,74.0
UI/UX Designer,UX Research; Figma; Adobe XD,UX Research; Photoshop; Prototypage; Illustrator,2,2,Bac,Bac,Anglais; Français,Français; Anglais,63.3
Graphiste,Branding; Photoshop; Illustrator; Canva; Typographie; InDesign,Canva; Illustrator; Photoshop; Branding; InDesign; Typographie,4,0,Licence,Bac,Français,Français,72.5
Social Media Manager,Instagram; TikTok; Analytics,TikTok; Instagram; Meta Ads; Analytics; Facebook; LinkedIn,1,4,Bac,Master,Français,Français; Anglais,100.0
Developpeur Web,PHP; MySQL; HTML/CSS; Laravel; JavaScript,Git; MySQL; Laravel; JavaScript; PHP; HTML/CSS,4,5,Master,Master,Anglais,Français; Anglais,100.0
Content Manager,Canva; Content Strategy; WordPress; SEO; Analytics; Copywriting,Analytics,4,6,Bac,Master,Français,Français; Anglais,54.2
Content Manager,Canva; SEO; Copywriting; Content Strategy; Analytics,Content Strategy; WordPress; SEO; Copywriting,4,3,Bac,Bac,Français; Anglais,Français,68.0
Community Manager,Canva; Facebook; Analytics,Copywriting; TikTok,3,0,Bac,Bac,Français; Anglais,Français,20.0
Chef de projet digital,ClickUp; Scrum; Agile; Asana; Gestion de projet,Gestion de projet; Scrum; ClickUp; Communication; Asana; Agile; TikTok,1,7,Licence,Licence,Anglais; Français,Français,95.0
Developpeur Web,HTML/CSS; JavaScript; PHP; Git,PHP; Laravel; Git; JavaScript; HTML/CSS; MySQL,1,5,Licence,Master,Français; Anglais,Français,95.0
Developpeur Mobile,Kotlin; Flutter; Git; Dart,Java; Git; SEO; Adobe XD,2,2,Licence,Licence,Français; Anglais,Français; Anglais,58.8
UI/UX Designer,Photoshop; Prototypage; Figma; UX Research,Figma,4,6,Bac,Master,Anglais; Français,Français; Anglais,58.8
UI/UX Designer,Adobe XD; Figma; Photoshop,Adobe XD; Photoshop; UX Research; Figma; Canva,4,6,Bac,Licence,Anglais; Français,Français; Anglais,100.0
Chef de projet digital,Gestion de projet; Scrum; ClickUp; Communication; Asana; Agile,Communication; Asana; Agile; ClickUp; Scrum,2,7,Bac,Licence,Anglais,Français; Anglais,90.8
Data Analyst,Power BI; SQL; Data Visualization,Data Visualization; Pandas; SQL,1,3,Bac,Licence,Français,Français; Anglais,81.7
Content Manager,Copywriting; Analytics; WordPress,Canva; Analytics; Content Strategy; SEO; Copywriting,3,3,Licence,Master,Anglais,Français,71.7
UI/UX Designer,Illustrator; Photoshop; Adobe XD; Prototypage; Figma; UX Research,Aucune information,4,0,Licence,Bac,Anglais; Français,Français; Anglais,17.5
SEO/SEA,SEM; Keyword Research; SEO,SEM; Google Ads; Keyword Research; Search Console; Google Analytics; SEO; Dart,4,2,Master,Licence,Anglais,Français; Anglais,82.5
Social Media Manager,Meta Ads; TikTok; Analytics; LinkedIn,Facebook; Analytics; Meta Ads,3,6,Licence,Master,Français; Anglais,Français,67.5
Social Media Manager,Meta Ads; LinkedIn; Instagram; TikTok,Analytics,4,5,Bac,Bac,Français; Anglais,Français; Anglais,45.0
UI/UX Designer,Adobe XD; Figma; UX Research; Photoshop; Prototypage; Illustrator,Figma; PHP,3,5,Master,Master,Anglais,Français; Anglais,54.2
Data Analyst,Pandas; Power BI; Python,SQL; Excel; Data Visualization; Pandas; Python,2,6,Licence,Licence,Français; Anglais,Français,76.7
UI/UX Designer,UX Research; Prototypage; Figma,Photoshop,1,1,Licence,Bac,Français,Français; Anglais,37.5
Graphiste,Photoshop; Canva; Typographie; Illustrator; Branding; InDesign,Typographie; Canva,1,1,Bac,Licence,Français,Français,63.3
UI/UX Designer,Figma; Photoshop; Prototypage,UX Research; Photoshop; Figma; Illustrator,4,4,Master,Bac,Français,Français; Anglais,74.2
Social Media Manager,Instagram; Facebook; TikTok,TikTok; LinkedIn,2,2,Bac,Master,Français,Français; Anglais,63.3
Chef de projet digital,Gestion de projet; ClickUp; Scrum; Communication; Agile; Asana,Scrum,3,7,Licence,Licence,Anglais,Français,44.2
Community Manager,Copywriting; Facebook; Canva; Instagram; Analytics,Facebook,3,2,Licence,Master,Anglais,Français; Anglais,49.3
Data Analyst,Power BI; Python; Pandas; Data Visualization; SQL,Data Visualization,4,2,Bac,Licence,Français; Anglais,Français; Anglais,46.0
Developpeur Web,Laravel; Git; MySQL; PHP; JavaScript,Aucune information,4,5,Licence,Master,Français,Français,45.0
SEO/SEA,Google Analytics; Search Console; Google Ads; SEO; Keyword Research; SEM,Aucune information,4,4,Bac,Licence,Anglais; Français,Français; Anglais,45.0
Developpeur Web,PHP; JavaScript; HTML/CSS; Laravel; MySQL,HTML/CSS; PHP,2,6,Licence,Licence,Français,Français,67.0
Social Media Manager,Facebook; Meta Ads; TikTok; Instagram; Analytics; LinkedIn,TikTok; Meta Ads; Facebook; LinkedIn; Analytics; Instagram,3,1,Master,Bac,Anglais; Français,Français,74.2
UI/UX Designer,Adobe XD; Photoshop; Figma,Aucune information,1,0,Licence,Licence,Français,Français; Anglais,25.0
SEO/SEA,Search Console; Google Ads; Keyword Research; Google Analytics; SEM,SEM; SEO; Google Ads; Google Analytics; Search Console,1,2,Bac,Licence,Français; Anglais,Français,84.0
Developpeur Mobile,Firebase; Flutter; Kotlin; Git; Java,Flutter; Dart; Kotlin,2,3,Master,Licence,Français,Français; Anglais,59.5
Graphiste,InDesign; Canva; Illustrator; Typographie; Photoshop,Branding; Typographie; Illustrator,2,1,Bac,Bac,Français,Français,57.0
UI/UX Designer,Prototypage; Figma; Adobe XD; Illustrator; UX Research,Photoshop; SEM; Meta Ads,1,2,Bac,Licence,Anglais,Français; Anglais,45.0
Social Media Manager,Instagram; Analytics; LinkedIn; TikTok; Meta Ads; Facebook,Aucune information,1,5,Licence,Licence,Anglais; Français,Français; Anglais,45.0
UI/UX Designer,Prototypage; UX Research; Illustrator; Photoshop; Adobe XD,Aucune information,1,0,Master,Master,Français,Français; Anglais,25.0
Developpeur Mobile,Dart; Java; Git; Kotlin; Firebase,Dart,1,2,Bac,Master,Anglais; Français,Français; Anglais,56.0
UI/UX Designer,UX Research; Photoshop; Adobe XD; Figma; Illustrator; Prototypage,Aucune information,2,3,Bac,Licence,Anglais; Français,Français; Anglais,45.0
Developpeur Mobile,Kotlin; Flutter; Firebase; Dart,Aucune information,1,4,Licence,Master,Anglais,Français,35.0
