poste,competences_requises,competences_candidat,experience_requise,experience_candidat,diplome_requis,diplome_candidat,langues_requises,langues_candidat,score_compatibilite,taux_competences,taux_experience,taux_diplome,taux_langues,poids_competences,poids_experience,poids_diplome,poids_langues
SEO/SEA,Google Analytics; Search Console; Google Ads; Keyword Research; SEO; SEM,Google Analytics; Google Ads; SEM; Search Console; Keyword Research; SEO,4,1,Bac,Master,Anglais (débutant); Français (courant),Français (courant),91.85,1.0,0.25,1.2,0.5,0.63,0.09,0.18,0.1
Social Media Manager,Meta Ads; Facebook; TikTok; LinkedIn; Instagram,TikTok; Instagram; Meta Ads; Analytics; Facebook; LinkedIn,2,6,Licence,Bac,Anglais (intermédiaire); Français (avancé),Français (intermédiaire),53.33,1.0,1.0,0.5,0.3333333333333333,0.06,0.21,0.12,0.61
UI/UX Designer,Prototypage; Illustrator; Photoshop,Figma; Prototypage; Photoshop,4,1,Master,Master,Anglais (courant); Français (courant),Français (courant),67.58,0.6666666666666666,0.25,1.0,0.5,0.41,0.05,0.24,0.3
UI/UX Designer,Prototypage; Figma; Photoshop; Adobe XD; UX Research,Adobe XD,2,1,Licence,Master,Anglais (courant); Français (avancé),Français (intermédiaire),77.7,0.2,0.5,1.2,0.3333333333333333,0.2,0.17,0.51,0.12
Content Manager,Analytics; SEO; Canva,Aucune information,4,3,Master,Bac,Français (avancé),Français (intermédiaire),41.25,0.0,0.75,0.3333333333333333,0.6666666666666666,0.4,0.47,0.08,0.05
Social Media Manager,Instagram; LinkedIn; Analytics; Facebook; TikTok; Meta Ads,Analytics; Facebook; LinkedIn; TikTok; Instagram; Meta Ads,4,3,Licence,Licence,Français (courant); Anglais (courant),Français (courant); Anglais (intermédiaire),92.25,1.0,0.75,1.0,0.75,0.1,0.17,0.59,0.14
Developpeur Mobile,Kotlin; Java; Dart; Flutter; Git; Firebase,Kotlin; Git; Firebase,1,0,Master,Licence,Anglais (courant),Français (courant); Anglais (intermédiaire),48.0,0.5,0.0,0.6666666666666666,0.5,0.48,0.09,0.15,0.28
SEO/SEA,SEM; Keyword Research; Search Console,SEO; Google Ads; Keyword Research; Search Console; SEM,1,0,Master,Bac,Français (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),82.33,1.0,0.0,0.3333333333333333,1.0,0.68,0.09,0.13,0.1
UI/UX Designer,Prototypage; Photoshop; Figma,UX Research; Figma; Adobe XD,1,4,Bac,Licence,Anglais (courant); Français (avancé),Français (intermédiaire),74.93,0.3333333333333333,1.0,1.2,0.3333333333333333,0.35,0.52,0.08,0.05
Content Manager,Analytics; Copywriting; Content Strategy; Canva; WordPress; SEO,Copywriting,1,1,Bac,Bac,Français (avancé),Français (intermédiaire); Anglais (avancé),31.33,0.16666666666666666,1.0,1.0,0.6666666666666666,0.8,0.09,0.05,0.06
Social Media Manager,Instagram; Meta Ads; LinkedIn; Facebook; Analytics,Facebook; TikTok; LinkedIn,3,1,Licence,Master,Anglais (courant),Français (courant); Anglais (débutant),42.43,0.4,0.3333333333333333,1.2,0.25,0.79,0.1,0.05,0.06
Graphiste,Branding; Typographie; Illustrator; Canva; Photoshop,Illustrator; Photoshop; InDesign; Branding,3,5,Licence,Master,Français (courant),Français (courant),97.6,0.6,1.0,1.2,1.0,0.13,0.62,0.14,0.11
Social Media Manager,TikTok; Analytics; Meta Ads,Instagram; LinkedIn; Facebook,2,0,Bac,Bac,Français (avancé); Anglais (avancé),Français (intermédiaire); Anglais (courant),61.33,0.0,0.0,1.0,0.8333333333333333,0.22,0.06,0.08,0.64
Chef de projet digital,Gestion de projet; Asana; Communication,Asana,3,6,Master,Bac,Français (avancé),Français (courant); Anglais (intermédiaire),80.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.09,0.65,0.21,0.05
Content Manager,Canva; Content Strategy; SEO; Analytics; WordPress; Copywriting,Analytics; Copywriting; SEO; Content Strategy; Canva,2,1,Bac,Licence,Anglais (courant); Français (courant),Français (avancé),74.19,0.8333333333333334,0.5,1.2,0.375,0.26,0.2,0.27,0.27
Community Manager,Canva; Copywriting; Instagram; Analytics; Facebook,Aucune information,3,0,Licence,Bac,Français (intermédiaire); Anglais (intermédiaire),Français (courant); Anglais (avancé),35.0,0.0,0.0,0.5,1.0,0.36,0.17,0.24,0.23
Community Manager,Facebook; Canva; Instagram; Copywriting; TikTok; Analytics,Canva; Copywriting; TikTok; Facebook; Analytics,4,1,Bac,Master,Français (courant),Français (intermédiaire),76.28,0.8333333333333334,0.25,1.2,0.5,0.1,0.23,0.41,0.26
Graphiste,Photoshop; InDesign; Illustrator; Branding,Illustrator; InDesign; Photoshop,3,5,Bac,Bac,Français (courant),Français (intermédiaire),85.75,0.75,1.0,1.0,0.5,0.47,0.43,0.05,0.05
Developpeur Mobile,Firebase; Git; Kotlin; Dart; Flutter,Java; Flutter; Git; Firebase; Dart,1,4,Master,Licence,Français (intermédiaire); Anglais (courant),Français (intermédiaire); Anglais (courant),86.53,0.8,1.0,0.6666666666666666,1.0,0.59,0.31,0.05,0.05
Developpeur Web,HTML/CSS; Laravel; Git; JavaScript; PHP,JavaScript; Laravel; Git; PHP,1,0,Licence,Bac,Français (avancé); Anglais (intermédiaire),Français (courant),38.3,0.8,0.0,0.5,0.5,0.26,0.39,0.28,0.07
Chef de projet digital,Asana; Communication; Gestion de projet; Scrum; Agile; ClickUp,Communication; ClickUp; Figma; Dart,1,3,Licence,Licence,Français (intermédiaire); Anglais (avancé),Français (intermédiaire); Anglais (débutant),64.33,0.3333333333333333,1.0,1.0,0.6666666666666666,0.45,0.24,0.14,0.17
Social Media Manager,Instagram; Analytics; LinkedIn,Analytics; Instagram; TikTok; Meta Ads; LinkedIn; Facebook,3,6,Bac,Bac,Anglais (courant); Français (avancé),Français (intermédiaire); Anglais (avancé),97.08,1.0,1.0,1.0,0.7083333333333333,0.75,0.06,0.09,0.1
Developpeur Web,PHP; MySQL; Git; JavaScript,PHP; Git; Laravel,1,5,Licence,Master,Anglais (intermédiaire); Français (intermédiaire),Français (avancé); Anglais (intermédiaire),67.4,0.5,1.0,1.2,1.0,0.7,0.05,0.12,0.13
Developpeur Mobile,Kotlin; Dart; Git; Flutter; Java,Java; Dart; Kotlin; Flutter; Firebase; Git,1,1,Master,Licence,Français (avancé),Français (intermédiaire); Anglais (avancé),95.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.1,0.06,0.09
Developpeur Web,Git; JavaScript; MySQL; HTML/CSS; PHP; Laravel,PHP; MySQL; HTML/CSS; Laravel; JavaScript,3,2,Licence,Master,Français (avancé); Anglais (débutant),Français (intermédiaire); Anglais (débutant),93.27,0.8333333333333334,0.6666666666666666,1.2,0.8333333333333333,0.16,0.13,0.33,0.38
Developpeur Web,PHP; HTML/CSS; JavaScript; MySQL,PHP; Git; Laravel; JavaScript,3,2,Bac,Licence,Anglais (courant); Français (courant),Français (avancé); Anglais (intermédiaire),80.24,0.5,0.6666666666666666,1.2,0.625,0.15,0.43,0.31,0.11
Developpeur Web,MySQL; HTML/CSS; JavaScript; Git,Aucune information,3,1,Bac,Master,Français (courant); Anglais (débutant),Français (courant),70.27,0.0,0.3333333333333333,1.2,0.5,0.12,0.23,0.43,0.22
Content Manager,SEO; Canva; WordPress; Content Strategy,Analytics,3,5,Licence,Licence,Français (intermédiaire); Anglais (avancé),Français (courant),39.5,0.0,1.0,1.0,0.5,0.58,0.06,0.31,0.05
Social Media Manager,Analytics; Facebook; LinkedIn; Meta Ads; Instagram; TikTok,Aucune information,1,0,Bac,Master,Français (courant); Anglais (avancé),Français (intermédiaire); Anglais (avancé),34.65,0.0,0.0,1.2,0.75,0.15,0.46,0.12,0.27
Data Analyst,SQL; Power BI; Pandas,Aucune information,4,0,Licence,Master,Français (intermédiaire); Anglais (intermédiaire),Français (intermédiaire); Anglais (courant),13.4,0.0,0.0,1.2,1.0,0.56,0.32,0.07,0.05
Community Manager,TikTok; Analytics; Facebook; Canva,Aucune information,2,2,Bac,Bac,Anglais (débutant),Français (courant); Anglais (courant),47.0,0.0,1.0,1.0,1.0,0.53,0.36,0.06,0.05
Graphiste,Branding; Photoshop; Typographie; InDesign,Aucune information,3,4,Master,Licence,Français (avancé),Français (intermédiaire),25.33,0.0,1.0,0.6666666666666666,0.6666666666666666,0.71,0.18,0.05,0.06
Content Manager,Copywriting; WordPress; Content Strategy; SEO; Canva,Analytics; Canva; Copywriting; Content Strategy; WordPress,3,1,Bac,Licence,Français (avancé); Anglais (courant),Français (intermédiaire); Anglais (courant),79.97,0.8,0.3333333333333333,1.2,0.8333333333333333,0.16,0.13,0.1,0.61
SEO/SEA,SEM; Google Ads; Search Console; Keyword Research,SEM,2,1,Licence,Master,Anglais (avancé),Français (avancé); Anglais (intermédiaire),35.08,0.25,0.5,1.2,0.6666666666666666,0.77,0.13,0.05,0.05
Community Manager,TikTok; Instagram; Copywriting,Facebook,4,3,Master,Master,Français (avancé),Français (avancé),14.75,0.0,0.75,1.0,1.0,0.84,0.05,0.05,0.06
Data Analyst,Data Visualization; Python; Pandas; SQL,Data Visualization; Python; SQL; Pandas; Excel; Power BI; Google Analytics; PHP,4,0,Bac,Bac,Français (intermédiaire),Français (avancé); Anglais (débutant),64.0,1.0,0.0,1.0,1.0,0.43,0.36,0.09,0.12
Developpeur Mobile,Dart; Git; Java; Flutter,Aucune information,3,2,Licence,Master,Français (intermédiaire); Anglais (avancé),Français (courant); Anglais (intermédiaire),66.4,0.0,0.6666666666666666,1.2,0.8333333333333333,0.22,0.29,0.17,0.32
Developpeur Web,JavaScript; MySQL; PHP,Illustrator,4,2,Bac,Master,Français (courant),Français (courant); Anglais (intermédiaire),16.7,0.0,0.5,1.2,1.0,0.8,0.09,0.06,0.05
Developpeur Mobile,Dart; Flutter; Kotlin; Java; Git; Firebase,Aucune information,1,4,Master,Bac,Français (intermédiaire); Anglais (courant),Français (courant); Anglais (avancé),13.79,0.0,1.0,0.3333333333333333,0.875,0.82,0.06,0.05,0.07
Content Manager,Analytics; Canva; SEO; Copywriting,Canva; Copywriting,3,6,Master,Master,Anglais (débutant); Français (courant),Français (intermédiaire),60.25,0.5,1.0,1.0,0.25,0.21,0.33,0.07,0.39
UI/UX Designer,Photoshop; Adobe XD; Illustrator; Prototypage,Photoshop; Adobe XD; Figma; Prototypage; Illustrator; Copywriting,4,2,Bac,Licence,Anglais (intermédiaire),Français (avancé); Anglais (débutant),94.4,1.0,0.5,1.2,0.5,0.79,0.07,0.07,0.07
Social Media Manager,Analytics; Instagram; LinkedIn; Meta Ads,Aucune information,4,3,Master,Master,Français (avancé); Anglais (courant),Français (courant); Anglais (débutant),12.88,0.0,0.75,1.0,0.625,0.84,0.05,0.06,0.05
Developpeur Mobile,Firebase; Flutter; Dart; Java,Aucune information,3,2,Master,Bac,Français (courant); Anglais (débutant),Français (courant); Anglais (avancé),24.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.65,0.13,0.1,0.12
Data Analyst,SQL; Data Visualization; Pandas; Python; Excel; Power BI,Python; Data Visualization,2,1,Licence,Licence,Anglais (courant),Français (intermédiaire),36.0,0.3333333333333333,0.5,1.0,0.0,0.69,0.12,0.07,0.12
UI/UX Designer,Adobe XD; Figma; UX Research; Prototypage; Photoshop,Adobe XD; Prototypage; Photoshop; UX Research; Illustrator,4,3,Bac,Master,Anglais (intermédiaire),Français (avancé),71.55,0.8,0.75,1.2,0.0,0.27,0.49,0.11,0.13
UI/UX Designer,UX Research; Figma; Adobe XD,UX Research; Photoshop; Prototypage; Illustrator,2,2,Bac,Bac,Anglais (avancé); Français (intermédiaire),Français (avancé); Anglais (intermédiaire),78.0,0.3333333333333333,1.0,1.0,0.8333333333333333,0.29,0.14,0.41,0.16
Graphiste,Branding; Photoshop; Illustrator; Canva; Typographie; InDesign,Canva; Illustrator; Photoshop; Branding; InDesign; Typographie,4,0,Licence,Bac,Français (intermédiaire),Français (avancé),71.5,1.0,0.0,0.5,1.0,0.47,0.25,0.07,0.21
Social Media Manager,Instagram; TikTok; Analytics,TikTok; Instagram; Meta Ads; Analytics; Facebook; LinkedIn,1,4,Bac,Master,Français (intermédiaire),Français (intermédiaire); Anglais (débutant),101.2,1.0,1.0,1.2,1.0,0.73,0.15,0.06,0.06
Developpeur Web,PHP; MySQL; HTML/CSS; Laravel; JavaScript,Git; MySQL; Laravel; JavaScript; PHP; HTML/CSS,4,5,Master,Master,Anglais (avancé),Français (courant); Anglais (courant),100.0,1.0,1.0,1.0,1.0,0.21,0.62,0.09,0.08
Content Manager,Canva; Content Strategy; WordPress; SEO; Analytics; Copywriting,Analytics,4,6,Bac,Master,Français (intermédiaire),Français (intermédiaire); Anglais (avancé),32.87,0.16666666666666666,1.0,1.2,1.0,0.82,0.05,0.06,0.07
Content Manager,Canva; SEO; Copywriting; Content Strategy; Analytics,Content Strategy; WordPress; SEO; Copywriting,4,3,Bac,Bac,Français (avancé); Anglais (intermédiaire),Français (avancé),72.65,0.6,0.75,1.0,0.5,0.14,0.65,0.1,0.11
Community Manager,Canva; Facebook; Analytics,Copywriting; TikTok,3,0,Bac,Bac,Français (intermédiaire); Anglais (avancé),Français (intermédiaire),9.5,0.0,0.0,1.0,0.5,0.77,0.1,0.06,0.07
Chef de projet digital,ClickUp; Scrum; Agile; Asana; Gestion de projet,Gestion de projet; Scrum; ClickUp; Communication; Asana; Agile; TikTok,1,7,Licence,Licence,Anglais (intermédiaire); Français (avancé),Français (courant),92.0,1.0,1.0,1.0,0.5,0.22,0.49,0.13,0.16
Developpeur Web,HTML/CSS; JavaScript; PHP; Git,PHP; Laravel; Git; JavaScript; HTML/CSS; MySQL,1,5,Licence,Master,Français (courant); Anglais (intermédiaire),Français (intermédiaire),96.85,1.0,1.0,1.2,0.25,0.08,0.27,0.48,0.17
Developpeur Mobile,Kotlin; Flutter; Git; Dart,Java; Git; SEO; Adobe XD,2,2,Licence,Licence,Français (courant); Anglais (courant),Français (avancé); Anglais (courant),82.38,0.25,1.0,1.0,0.875,0.15,0.21,0.13,0.51
UI/UX Designer,Photoshop; Prototypage; Figma; UX Research,Figma,4,6,Bac,Master,Anglais (avancé); Français (avancé),Français (intermédiaire); Anglais (courant),43.42,0.25,1.0,1.2,0.8333333333333333,0.77,0.08,0.1,0.05
UI/UX Designer,Adobe XD; Figma; Photoshop,Adobe XD; Photoshop; UX Research; Figma; Canva,4,6,Bac,Licence,Anglais (débutant); Français (courant),Français (intermédiaire); Anglais (intermédiaire),99.9,1.0,1.0,1.2,0.75,0.3,0.57,0.07,0.06
Chef de projet digital,Gestion de projet; Scrum; ClickUp; Communication; Asana; Agile,Communication; Asana; Agile; ClickUp; Scrum,2,7,Bac,Licence,Anglais (intermédiaire),Français (avancé); Anglais (débutant),86.77,0.8333333333333334,1.0,1.2,0.5,0.5,0.29,0.08,0.13
Data Analyst,Power BI; SQL; Data Visualization,Data Visualization; Pandas; SQL,1,3,Bac,Licence,Français (intermédiaire),Français (avancé); Anglais (intermédiaire),82.73,0.6666666666666666,1.0,1.2,1.0,0.56,0.2,0.07,0.17
Content Manager,Copywriting; Analytics; WordPress,Canva; Analytics; Content Strategy; SEO; Copywriting,3,3,Licence,Master,Anglais (courant),Français (intermédiaire),74.4,0.6666666666666666,1.0,1.2,0.0,0.48,0.28,0.12,0.12
UI/UX Designer,Illustrator; Photoshop; Adobe XD; Prototypage; Figma; UX Research,Aucune information,4,0,Licence,Bac,Anglais (intermédiaire); Français (intermédiaire),Français (avancé); Anglais (avancé),15.0,0.0,0.0,0.5,1.0,0.18,0.59,0.16,0.07
SEO/SEA,SEM; Keyword Research; SEO,SEM; Google Ads; Keyword Research; Search Console; Google Analytics; SEO; Dart,4,2,Master,Licence,Anglais (courant),Français (courant); Anglais (débutant),58.25,1.0,0.5,0.6666666666666666,0.25,0.26,0.4,0.09,0.25
Social Media Manager,Meta Ads; TikTok; Analytics; LinkedIn,Facebook; Analytics; Meta Ads,3,6,Licence,Master,Français (avancé); Anglais (courant),Français (avancé),94.5,0.5,1.0,1.2,0.5,0.09,0.47,0.3,0.14
Social Media Manager,Meta Ads; LinkedIn; Instagram; TikTok,Analytics,4,5,Bac,Bac,Français (avancé); Anglais (courant),Français (courant); Anglais (intermédiaire),87.5,0.0,1.0,1.0,0.75,0.11,0.75,0.08,0.06
UI/UX Designer,Adobe XD; Figma; UX Research; Photoshop; Prototypage; Illustrator,Figma; PHP,3,5,Master,Master,Anglais (intermédiaire),Français (courant); Anglais (courant),81.67,0.16666666666666666,1.0,1.0,1.0,0.22,0.31,0.24,0.23
Data Analyst,Pandas; Power BI; Python,SQL; Excel; Data Visualization; Pandas; Python,2,6,Licence,Licence,Français (avancé); Anglais (avancé),Français (avancé),88.67,0.6666666666666666,1.0,1.0,0.5,0.13,0.12,0.61,0.14
UI/UX Designer,UX Research; Prototypage; Figma,Photoshop,1,1,Licence,Bac,Français (courant),Français (intermédiaire); Anglais (avancé),29.5,0.0,1.0,0.5,0.5,0.55,0.14,0.08,0.23
Graphiste,Photoshop; Canva; Typographie; Illustrator; Branding; InDesign,Typographie; Canva,1,1,Bac,Licence,Français (courant),Français (intermédiaire),80.03,0.3333333333333333,1.0,1.2,0.5,0.28,0.61,0.06,0.05
UI/UX Designer,Figma; Photoshop; Prototypage,UX Research; Photoshop; Figma; Illustrator,4,4,Master,Bac,Français (courant),Français (courant); Anglais (avancé),75.33,0.6666666666666666,1.0,0.3333333333333333,1.0,0.56,0.28,0.09,0.07
Social Media Manager,Instagram; Facebook; TikTok,TikTok; LinkedIn,2,2,Bac,Master,Français (intermédiaire),Français (intermédiaire); Anglais (courant),103.73,0.3333333333333333,1.0,1.2,1.0,0.16,0.06,0.72,0.06
Chef de projet digital,Gestion de projet; ClickUp; Scrum; Communication; Agile; Asana,Scrum,3,7,Licence,Licence,Anglais (avancé),Français (avancé),47.17,0.16666666666666666,1.0,1.0,0.0,0.07,0.12,0.34,0.47
Community Manager,Copywriting; Facebook; Canva; Instagram; Analytics,Facebook,3,2,Licence,Master,Anglais (débutant),Français (avancé); Anglais (avancé),57.6,0.2,0.6666666666666666,1.2,1.0,0.35,0.48,0.08,0.09
Data Analyst,Power BI; Python; Pandas; Data Visualization; SQL,Data Visualization,4,2,Bac,Licence,Français (courant); Anglais (courant),Français (courant); Anglais (avancé),52.52,0.2,0.5,1.2,0.875,0.12,0.76,0.05,0.07
Developpeur Web,Laravel; Git; MySQL; PHP; JavaScript,Aucune information,4,5,Licence,Master,Français (intermédiaire),Français (avancé),25.0,0.0,1.0,1.2,1.0,0.76,0.14,0.05,0.05
SEO/SEA,Google Analytics; Search Console; Google Ads; SEO; Keyword Research; SEM,Aucune information,4,4,Bac,Licence,Anglais (avancé); Français (avancé),Français (avancé); Anglais (débutant),26.53,0.0,1.0,1.2,0.6666666666666666,0.71,0.12,0.06,0.11
Developpeur Web,PHP; JavaScript; HTML/CSS; Laravel; MySQL,HTML/CSS; PHP,2,6,Licence,Licence,Français (avancé),Français (courant),52.0,0.4,1.0,1.0,1.0,0.8,0.06,0.08,0.06
Social Media Manager,Facebook; Meta Ads; TikTok; Instagram; Analytics; LinkedIn,TikTok; Meta Ads; Facebook; LinkedIn; Analytics; Instagram,3,1,Master,Bac,Anglais (intermédiaire); Français (intermédiaire),Français (courant),47.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.15,0.25,0.38,0.22
UI/UX Designer,Adobe XD; Photoshop; Figma,Aucune information,1,0,Licence,Licence,Français (courant),Français (courant); Anglais (avancé),12.0,0.0,0.0,1.0,1.0,0.59,0.29,0.06,0.06
SEO/SEA,Search Console; Google Ads; Keyword Research; Google Analytics; SEM,SEM; SEO; Google Ads; Google Analytics; Search Console,1,2,Bac,Licence,Français (avancé); Anglais (intermédiaire),Français (avancé),98.7,0.8,1.0,1.2,0.5,0.15,0.59,0.21,0.05
Developpeur Mobile,Firebase; Flutter; Kotlin; Git; Java,Flutter; Dart; Kotlin,2,3,Master,Licence,Français (avancé),Français (avancé); Anglais (intermédiaire),89.33,0.4,1.0,0.6666666666666666,1.0,0.1,0.59,0.14,0.17
Graphiste,InDesign; Canva; Illustrator; Typographie; Photoshop,Branding; Typographie; Illustrator,2,1,Bac,Bac,Français (intermédiaire),Français (avancé),80.0,0.4,0.5,1.0,1.0,0.2,0.16,0.06,0.58
UI/UX Designer,Prototypage; Figma; Adobe XD; Illustrator; UX Research,Photoshop; SEM; Meta Ads,1,2,Bac,Licence,Anglais (courant),Français (courant); Anglais (débutant),26.5,0.0,1.0,1.2,0.25,0.7,0.19,0.05,0.06
Social Media Manager,Instagram; Analytics; LinkedIn; TikTok; Meta Ads; Facebook,Aucune information,1,5,Licence,Licence,Anglais (avancé); Français (avancé),Français (avancé); Anglais (débutant),78.33,0.0,1.0,1.0,0.6666666666666666,0.16,0.54,0.13,0.17
UI/UX Designer,Prototypage; UX Research; Illustrator; Photoshop; Adobe XD,Aucune information,1,0,Master,Master,Français (courant),Français (courant); Anglais (débutant),59.0,0.0,0.0,1.0,1.0,0.13,0.28,0.1,0.49
Developpeur Mobile,Dart; Java; Git; Kotlin; Firebase,Dart,1,2,Bac,Master,Anglais (courant); Français (courant),Français (intermédiaire); Anglais (débutant),58.9,0.2,1.0,1.2,0.375,0.44,0.36,0.08,0.12
UI/UX Designer,UX Research; Photoshop; Adobe XD; Figma; Illustrator; Prototypage,Aucune information,2,3,Bac,Licence,Anglais (débutant); Français (courant),Français (courant); Anglais (intermédiaire),33.4,0.0,1.0,1.2,1.0,0.7,0.07,0.17,0.06
Developpeur Mobile,Kotlin; Flutter; Firebase; Dart,Aucune information,1,4,Licence,Master,Anglais (intermédiaire),Français (avancé),79.4,0.0,1.0,1.2,0.0,0.11,0.71,0.07,0.11
Data Analyst,SQL; Python; Pandas; Data Visualization,Power BI; Excel; Pandas; SQL; Python,3,4,Licence,Master,Anglais (intermédiaire); Français (courant),Français (courant); Anglais (avancé),79.75,0.75,1.0,1.2,1.0,0.85,0.05,0.05,0.05
Content Manager,WordPress; Copywriting; Analytics; Canva; SEO; Content Strategy,Analytics; Canva; Copywriting; WordPress,2,1,Licence,Licence,Français (intermédiaire); Anglais (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),70.5,0.6666666666666666,0.5,1.0,1.0,0.57,0.21,0.09,0.13
Data Analyst,Pandas; SQL; Excel; Power BI; Data Visualization; Python,Python,4,5,Master,Master,Anglais (intermédiaire); Français (avancé),Français (avancé); Anglais (courant),90.0,0.16666666666666666,1.0,1.0,1.0,0.12,0.25,0.3,0.33
Social Media Manager,Facebook; Analytics; LinkedIn; TikTok; Meta Ads,Meta Ads; Instagram; TikTok; Analytics,4,6,Master,Licence,Anglais (intermédiaire),Français (avancé); Anglais (débutant),64.77,0.6,1.0,0.6666666666666666,0.5,0.71,0.13,0.07,0.09
Community Manager,Facebook; Canva; TikTok,Instagram; TikTok,1,6,Licence,Master,Français (avancé); Anglais (débutant),Français (intermédiaire),101.33,0.3333333333333333,1.0,1.2,0.3333333333333333,0.05,0.5,0.4,0.05
Developpeur Mobile,Dart; Kotlin; Git; Firebase; Flutter,Dart; Git,3,0,Bac,Licence,Anglais (avancé),Français (avancé),31.6,0.4,0.0,1.2,0.0,0.4,0.42,0.13,0.05
UI/UX Designer,UX Research; Photoshop; Adobe XD; Prototypage; Figma; Illustrator,Figma; Photoshop,2,5,Licence,Licence,Anglais (avancé),Français (courant); Anglais (débutant),60.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.36,0.3,0.1,0.24
SEO/SEA,Google Ads; Keyword Research; SEM,SEM; Search Console; Keyword Research,3,4,Master,Bac,Anglais (intermédiaire); Français (intermédiaire),Français (courant),83.17,0.6666666666666666,1.0,0.3333333333333333,0.5,0.3,0.58,0.05,0.07
UI/UX Designer,Adobe XD; Prototypage; Photoshop; Figma; UX Research,Figma; Illustrator; Prototypage; UX Research; Photoshop; Flutter; Canva,1,4,Licence,Bac,Anglais (intermédiaire),Français (courant),78.3,0.8,1.0,0.5,0.0,0.31,0.47,0.13,0.09
Social Media Manager,Facebook; Meta Ads; Analytics,Instagram,2,5,Master,Bac,Anglais (intermédiaire),Français (courant); Anglais (courant),68.33,0.0,1.0,0.3333333333333333,1.0,0.15,0.5,0.25,0.1
Developpeur Web,JavaScript; Laravel; PHP; Git; MySQL; HTML/CSS,PHP,1,6,Master,Master,Français (intermédiaire),Français (courant); Anglais (avancé),32.5,0.16666666666666666,1.0,1.0,1.0,0.81,0.06,0.06,0.07
Developpeur Mobile,Git; Kotlin; Dart; Flutter; Java,Kotlin,4,6,Master,Master,Anglais (courant),Français (courant),39.0,0.2,1.0,1.0,0.0,0.6,0.19,0.08,0.13
Data Analyst,Power BI; Data Visualization; Excel; SQL,Power BI; Python; Data Visualization,1,6,Master,Bac,Anglais (débutant); Français (courant),Français (courant); Anglais (courant),60.67,0.5,1.0,0.3333333333333333,1.0,0.64,0.18,0.11,0.07
Content Manager,WordPress; Content Strategy; Copywriting; Analytics; SEO; Canva,Aucune information,3,2,Bac,Master,Anglais (avancé); Français (courant),Français (avancé),69.47,0.0,0.6666666666666666,1.2,0.375,0.09,0.42,0.28,0.21
Social Media Manager,Meta Ads; Facebook; Instagram; TikTok; Analytics; LinkedIn,Analytics; TikTok; LinkedIn; Facebook; Instagram; Meta Ads,3,4,Licence,Master,Anglais (courant),Français (intermédiaire); Anglais (avancé),99.25,1.0,1.0,1.2,0.75,0.55,0.06,0.2,0.19
Data Analyst,SQL; Excel; Pandas; Power BI; Data Visualization,Python,1,7,Bac,Master,Français (courant),Français (courant); Anglais (débutant),95.2,0.0,1.0,1.2,1.0,0.07,0.66,0.11,0.16
Graphiste,Illustrator; Canva; Branding,Aucune information,1,0,Bac,Licence,Français (courant),Français (courant),86.0,0.0,0.0,1.2,1.0,0.13,0.14,0.65,0.08
Developpeur Web,MySQL; PHP; Git; Laravel,Git; HTML/CSS,2,1,Master,Bac,Français (courant),Français (courant),36.5,0.25,0.5,0.3333333333333333,1.0,0.56,0.11,0.24,0.09
Data Analyst,Python; Pandas; Data Visualization; Excel,Aucune information,1,6,Bac,Master,Français (intermédiaire),Français (avancé); Anglais (intermédiaire),77.0,0.0,1.0,1.2,1.0,0.25,0.27,0.1,0.38
UI/UX Designer,Adobe XD; UX Research; Illustrator; Photoshop; Prototypage; Figma,Figma; Prototypage; UX Research; Illustrator; Adobe XD; Photoshop,2,0,Bac,Master,Anglais (débutant); Français (intermédiaire),Français (courant); Anglais (avancé),51.0,1.0,0.0,1.2,1.0,0.26,0.51,0.1,0.13
Community Manager,Canva; TikTok; Facebook; Analytics; Instagram,Copywriting; Facebook; Analytics,1,2,Master,Master,Anglais (débutant),Français (courant); Anglais (courant),62.8,0.4,1.0,1.0,1.0,0.62,0.12,0.16,0.1
Community Manager,TikTok; Facebook; Instagram; Copywriting,Facebook; Copywriting; Analytics,3,0,Master,Licence,Français (courant),Français (courant); Anglais (courant),50.33,0.5,0.0,0.6666666666666666,1.0,0.84,0.06,0.05,0.05
Developpeur Mobile,Dart; Firebase; Flutter; Git; Java; Kotlin,Dart; Flutter,2,0,Master,Bac,Anglais (avancé); Français (courant),Français (intermédiaire); Anglais (courant),30.5,0.3333333333333333,0.0,0.3333333333333333,0.75,0.69,0.16,0.09,0.06
Developpeur Web,PHP; Git; JavaScript; MySQL; HTML/CSS; Laravel,PHP; JavaScript; MySQL,4,2,Master,Licence,Français (intermédiaire),Français (courant),61.5,0.5,0.5,0.6666666666666666,1.0,0.18,0.49,0.15,0.18
Developpeur Mobile,Dart; Git; Flutter,UX Research,1,2,Master,Bac,Français (avancé),Français (avancé); Anglais (intermédiaire),14.67,0.0,1.0,0.3333333333333333,1.0,0.82,0.08,0.05,0.05
