poste,competences_requises,competences_candidat,experience_requise,experience_candidat,diplome_requis,diplome_candidat,langues_requises,langues_candidat,score_compatibilite
Community Manager,TikTok; Analytics; Facebook; Canva,Aucune information,2,2,Bac,Bac,Anglais (débutant),Français (courant); Anglais (courant),45.0
Graphiste,Branding; Photoshop; Typographie; InDesign,Aucune information,3,4,Master,Licence,Français (avancé),Français (intermédiaire),37.5
Content Manager,Copywriting; WordPress; Content Strategy; SEO; Canva,Analytics; Canva; Copywriting; Content Strategy; WordPress,3,1,Bac,Licence,Français (avancé); Anglais (courant),Français (intermédiaire); Anglais (courant),75.7
SEO/SEA,SEM; Google Ads; Search Console; Keyword Research,SEM,2,1,Licence,Master,Anglais (avancé),Français (avancé); Anglais (intermédiaire),48.8
Community Manager,TikTok; Instagram; Copywriting,Facebook,4,3,Master,Master,Français (avancé),Français (avancé),40.0
Data Analyst,Data Visualization; Python; Pandas; SQL,Data Visualization; Python; SQL; Pandas; Excel; Power BI; Google Analytics; PHP,4,0,Bac,Bac,Français (intermédiaire),Français (avancé); Anglais (débutant),80.0
Developpeur Mobile,Dart; Git; Java; Flutter,Aucune information,3,2,Licence,Master,Français (intermédiaire); Anglais (avancé),Français (courant); Anglais (intermédiaire),38.3
Developpeur Web,JavaScript; MySQL; PHP,Illustrator,4,2,Bac,Master,Français (courant),Français (courant); Anglais (intermédiaire),35.0
Developpeur Mobile,Dart; Flutter; Kotlin; Java; Git; Firebase,Aucune information,1,4,Master,Bac,Français (intermédiaire); Anglais (courant),Français (courant); Anglais (avancé),37.5
Content Manager,Analytics; Canva; SEO; Copywriting,Canva; Copywriting,3,6,Master,Master,Anglais (débutant); Français (courant),Français (intermédiaire),67.5
UI/UX Designer,Photoshop; Adobe XD; Illustrator; Prototypage,Photoshop; Adobe XD; Figma; Prototypage; Illustrator; Copywriting,4,2,Bac,Licence,Anglais (intermédiaire),Français (avancé); Anglais (débutant),90.0
Social Media Manager,Analytics; Instagram; LinkedIn; Meta Ads,Aucune information,4,3,Master,Master,Français (avancé); Anglais (courant),Français (courant); Anglais (débutant),40.0
Developpeur Mobile,Firebase; Flutter; Dart; Java,Aucune information,3,2,Master,Bac,Français (courant); Anglais (débutant),Français (courant); Anglais (avancé),30.8
Data Analyst,SQL; Data Visualization; Pandas; Python; Excel; Power BI,Python; Data Visualization,2,1,Licence,Licence,Anglais (courant),Français (intermédiaire),43.3
UI/UX Designer,Adobe XD; Figma; UX Research; Prototypage; Photoshop,Adobe XD; Prototypage; Photoshop; UX Research; Illustrator,4,3,Bac,Master,Anglais (intermédiaire),Français (avancé),74.0
UI/UX Designer,UX Research; Figma; Adobe XD,UX Research; Photoshop; Prototypage; Illustrator,2,2,Bac,Bac,Anglais (avancé); Français (intermédiaire),Français (avancé); Anglais (intermédiaire),63.3
Graphiste,Branding; Photoshop; Illustrator; Canva; Typographie; InDesign,Canva; Illustrator; Photoshop; Branding; InDesign; Typographie,4,0,Licence,Bac,Français (intermédiaire),Français (avancé),72.5
Social Media Manager,Instagram; TikTok; Analytics,TikTok; Instagram; Meta Ads; Analytics; Facebook; LinkedIn,1,4,Bac,Master,Français (intermédiaire),Français (intermédiaire); Anglais (débutant),100.0
Developpeur Web,PHP; MySQL; HTML/CSS; Laravel; JavaScript,Git; MySQL; Laravel; JavaScript; PHP; HTML/CSS,4,5,Master,Master,Anglais (avancé),Français (courant); Anglais (courant),100.0
Content Manager,Canva; Content Strategy; WordPress; SEO; Analytics; Copywriting,Analytics,4,6,Bac,Master,Français (intermédiaire),Français (intermédiaire); Anglais (avancé),54.2
Content Manager,Canva; SEO; Copywriting; Content Strategy; Analytics,Content Strategy; WordPress; SEO; Copywriting,4,3,Bac,Bac,Français (avancé); Anglais (intermédiaire),Français (avancé),68.0
Community Manager,Canva; Facebook; Analytics,Copywriting; TikTok,3,0,Bac,Bac,Français (intermédiaire); Anglais (avancé),Français (intermédiaire),20.0
Chef de projet digital,ClickUp; Scrum; Agile; Asana; Gestion de projet,Gestion de projet; Scrum; ClickUp; Communication; Asana; Agile; TikTok,1,7,Licence,Licence,Anglais (intermédiaire); Français (avancé),Français (courant),95.0
Developpeur Web,HTML/CSS; JavaScript; PHP; Git,PHP; Laravel; Git; JavaScript; HTML/CSS; MySQL,1,5,Licence,Master,Français (courant); Anglais (intermédiaire),Français (intermédiaire),95.0
Developpeur Mobile,Kotlin; Flutter; Git; Dart,Java; Git; SEO; Adobe XD,2,2,Licence,Licence,Français (courant); Anglais (courant),Français (avancé); Anglais (courant),58.8
UI/UX Designer,Photoshop; Prototypage; Figma; UX Research,Figma,4,6,Bac,Master,Anglais (avancé); Français (avancé),Français (intermédiaire); Anglais (courant),58.8
UI/UX Designer,Adobe XD; Figma; Photoshop,Adobe XD; Photoshop; UX Research; Figma; Canva,4,6,Bac,Licence,Anglais (débutant); Français (courant),Français (intermédiaire); Anglais (intermédiaire),100.0
Chef de projet digital,Gestion de projet; Scrum; ClickUp; Communication; Asana; Agile,Communication; Asana; Agile; ClickUp; Scrum,2,7,Bac,Licence,Anglais (intermédiaire),Français (avancé); Anglais (débutant),90.8
Data Analyst,Power BI; SQL; Data Visualization,Data Visualization; Pandas; SQL,1,3,Bac,Licence,Français (intermédiaire),Français (avancé); Anglais (intermédiaire),81.7
Content Manager,Copywriting; Analytics; WordPress,Canva; Analytics; Content Strategy; SEO; Copywriting,3,3,Licence,Master,Anglais (courant),Français (intermédiaire),71.7
UI/UX Designer,Illustrator; Photoshop; Adobe XD; Prototypage; Figma; UX Research,Aucune information,4,0,Licence,Bac,Anglais (intermédiaire); Français (intermédiaire),Français (avancé); Anglais (avancé),17.5
SEO/SEA,SEM; Keyword Research; SEO,SEM; Google Ads; Keyword Research; Search Console; Google Analytics; SEO; Dart,4,2,Master,Licence,Anglais (courant),Français (courant); Anglais (débutant),82.5
Social Media Manager,Meta Ads; TikTok; Analytics; LinkedIn,Facebook; Analytics; Meta Ads,3,6,Licence,Master,Français (avancé); Anglais (courant),Français (avancé),67.5
Social Media Manager,Meta Ads; LinkedIn; Instagram; TikTok,Analytics,4,5,Bac,Bac,Français (avancé); Anglais (courant),Français (courant); Anglais (intermédiaire),45.0
UI/UX Designer,Adobe XD; Figma; UX Research; Photoshop; Prototypage; Illustrator,Figma; PHP,3,5,Master,Master,Anglais (intermédiaire),Français (courant); Anglais (courant),54.2
Data Analyst,Pandas; Power BI; Python,SQL; Excel; Data Visualization; Pandas; Python,2,6,Licence,Licence,Français (avancé); Anglais (avancé),Français (avancé),76.7
UI/UX Designer,UX Research; Prototypage; Figma,Photoshop,1,1,Licence,Bac,Français (courant),Français (intermédiaire); Anglais (avancé),37.5
Graphiste,Photoshop; Canva; Typographie; Illustrator; Branding; InDesign,Typographie; Canva,1,1,Bac,Licence,Français (courant),Français (intermédiaire),63.3
UI/UX Designer,Figma; Photoshop; Prototypage,UX Research; Photoshop; Figma; Illustrator,4,4,Master,Bac,Français (courant),Français (courant); Anglais (avancé),74.2
Social Media Manager,Instagram; Facebook; TikTok,TikTok; LinkedIn,2,2,Bac,Master,Français (intermédiaire),Français (intermédiaire); Anglais (courant),63.3
Chef de projet digital,Gestion de projet; ClickUp; Scrum; Communication; Agile; Asana,Scrum,3,7,Licence,Licence,Anglais (avancé),Français (avancé),44.2
Community Manager,Copywriting; Facebook; Canva; Instagram; Analytics,Facebook,3,2,Licence,Master,Anglais (débutant),Français (avancé); Anglais (avancé),49.3
Data Analyst,Power BI; Python; Pandas; Data Visualization; SQL,Data Visualization,4,2,Bac,Licence,Français (courant); Anglais (courant),Français (courant); Anglais (avancé),46.0
Developpeur Web,Laravel; Git; MySQL; PHP; JavaScript,Aucune information,4,5,Licence,Master,Français (intermédiaire),Français (avancé),45.0
SEO/SEA,Google Analytics; Search Console; Google Ads; SEO; Keyword Research; SEM,Aucune information,4,4,Bac,Licence,Anglais (avancé); Français (avancé),Français (avancé); Anglais (débutant),45.0
Developpeur Web,PHP; JavaScript; HTML/CSS; Laravel; MySQL,HTML/CSS; PHP,2,6,Licence,Licence,Français (avancé),Français (courant),67.0
Social Media Manager,Facebook; Meta Ads; TikTok; Instagram; Analytics; LinkedIn,TikTok; Meta Ads; Facebook; LinkedIn; Analytics; Instagram,3,1,Master,Bac,Anglais (intermédiaire); Français (intermédiaire),Français (courant),74.2
UI/UX Designer,Adobe XD; Photoshop; Figma,Aucune information,1,0,Licence,Licence,Français (courant),Français (courant); Anglais (avancé),25.0
SEO/SEA,Search Console; Google Ads; Keyword Research; Google Analytics; SEM,SEM; SEO; Google Ads; Google Analytics; Search Console,1,2,Bac,Licence,Français (avancé); Anglais (intermédiaire),Français (avancé),84.0
Developpeur Mobile,Firebase; Flutter; Kotlin; Git; Java,Flutter; Dart; Kotlin,2,3,Master,Licence,Français (avancé),Français (avancé); Anglais (intermédiaire),59.5
Graphiste,InDesign; Canva; Illustrator; Typographie; Photoshop,Branding; Typographie; Illustrator,2,1,Bac,Bac,Français (intermédiaire),Français (avancé),57.0
UI/UX Designer,Prototypage; Figma; Adobe XD; Illustrator; UX Research,Photoshop; SEM; Meta Ads,1,2,Bac,Licence,Anglais (courant),Français (courant); Anglais (débutant),45.0
Social Media Manager,Instagram; Analytics; LinkedIn; TikTok; Meta Ads; Facebook,Aucune information,1,5,Licence,Licence,Anglais (avancé); Français (avancé),Français (avancé); Anglais (débutant),45.0
UI/UX Designer,Prototypage; UX Research; Illustrator; Photoshop; Adobe XD,Aucune information,1,0,Master,Master,Français (courant),Français (courant); Anglais (débutant),25.0
Developpeur Mobile,Dart; Java; Git; Kotlin; Firebase,Dart,1,2,Bac,Master,Anglais (courant); Français (courant),Français (intermédiaire); Anglais (débutant),56.0
UI/UX Designer,UX Research; Photoshop; Adobe XD; Figma; Illustrator; Prototypage,Aucune information,2,3,Bac,Licence,Anglais (débutant); Français (courant),Français (courant); Anglais (intermédiaire),45.0
Developpeur Mobile,Kotlin; Flutter; Firebase; Dart,Aucune information,1,4,Licence,Master,Anglais (intermédiaire),Français (avancé),35.0
Data Analyst,SQL; Python; Pandas; Data Visualization,Power BI; Excel; Pandas; SQL; Python,3,4,Licence,Master,Anglais (intermédiaire); Français (courant),Français (courant); Anglais (avancé),86.2
Content Manager,WordPress; Copywriting; Analytics; Canva; SEO; Content Strategy,Analytics; Canva; Copywriting; WordPress,2,1,Licence,Licence,Français (intermédiaire); Anglais (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),71.7
Data Analyst,Pandas; SQL; Excel; Power BI; Data Visualization; Python,Python,4,5,Master,Master,Anglais (intermédiaire); Français (avancé),Français (avancé); Anglais (courant),54.2
Social Media Manager,Facebook; Analytics; LinkedIn; TikTok; Meta Ads,Meta Ads; Instagram; TikTok; Analytics,4,6,Master,Licence,Anglais (intermédiaire),Français (avancé); Anglais (débutant),70.5
Community Manager,Facebook; Canva; TikTok,Instagram; TikTok,1,6,Licence,Master,Français (avancé); Anglais (débutant),Français (intermédiaire),58.3
Developpeur Mobile,Dart; Kotlin; Git; Firebase; Flutter,Dart; Git,3,0,Bac,Licence,Anglais (avancé),Français (avancé),37.0
UI/UX Designer,UX Research; Photoshop; Adobe XD; Prototypage; Figma; Illustrator,Figma; Photoshop,2,5,Licence,Licence,Anglais (avancé),Français (courant); Anglais (débutant),63.3
SEO/SEA,Google Ads; Keyword Research; SEM,SEM; Search Console; Keyword Research,3,4,Master,Bac,Anglais (intermédiaire); Français (intermédiaire),Français (courant),69.2
UI/UX Designer,Adobe XD; Prototypage; Photoshop; Figma; UX Research,Figma; Illustrator; Prototypage; UX Research; Photoshop; Flutter; Canva,1,4,Licence,Bac,Anglais (intermédiaire),Français (courant),71.5
Social Media Manager,Facebook; Meta Ads; Analytics,Instagram,2,5,Master,Bac,Anglais (intermédiaire),Français (courant); Anglais (courant),37.5
Developpeur Web,JavaScript; Laravel; PHP; Git; MySQL; HTML/CSS,PHP,1,6,Master,Master,Français (intermédiaire),Français (courant); Anglais (avancé),54.2
Developpeur Mobile,Git; Kotlin; Dart; Flutter; Java,Kotlin,4,6,Master,Master,Anglais (courant),Français (courant),46.0
Data Analyst,Power BI; Data Visualization; Excel; SQL,Power BI; Python; Data Visualization,1,6,Master,Bac,Anglais (débutant); Français (courant),Français (courant); Anglais (courant),65.0
Content Manager,WordPress; Content Strategy; Copywriting; Analytics; SEO; Canva,Aucune information,3,2,Bac,Master,Anglais (avancé); Français (courant),Français (avancé),33.3
Social Media Manager,Meta Ads; Facebook; Instagram; TikTok; Analytics; LinkedIn,Analytics; TikTok; LinkedIn; Facebook; Instagram; Meta Ads,3,4,Licence,Master,Anglais (courant),Français (intermédiaire); Anglais (avancé),100.0
Data Analyst,SQL; Excel; Pandas; Power BI; Data Visualization,Python,1,7,Bac,Master,Français (courant),Français (courant); Anglais (débutant),45.0
Graphiste,Illustrator; Canva; Branding,Aucune information,1,0,Bac,Licence,Français (courant),Français (courant),25.0
Developpeur Web,MySQL; PHP; Git; Laravel,Git; HTML/CSS,2,1,Master,Bac,Français (courant),Français (courant),41.2
Data Analyst,Python; Pandas; Data Visualization; Excel,Aucune information,1,6,Bac,Master,Français (intermédiaire),Français (avancé); Anglais (intermédiaire),45.0
UI/UX Designer,Adobe XD; UX Research; Illustrator; Photoshop; Prototypage; Figma,Figma; Prototypage; UX Research; Illustrator; Adobe XD; Photoshop,2,0,Bac,Master,Anglais (débutant); Français (intermédiaire),Français (courant); Anglais (avancé),80.0
Community Manager,Canva; TikTok; Facebook; Analytics; Instagram,Copywriting; Facebook; Analytics,1,2,Master,Master,Anglais (débutant),Français (courant); Anglais (courant),67.0
Community Manager,TikTok; Facebook; Instagram; Copywriting,Facebook; Copywriting; Analytics,3,0,Master,Licence,Français (courant),Français (courant); Anglais (courant),45.0
Developpeur Mobile,Dart; Firebase; Flutter; Git; Java; Kotlin,Dart; Flutter,2,0,Master,Bac,Anglais (avancé); Français (courant),Français (intermédiaire); Anglais (courant),35.8
Developpeur Web,PHP; Git; JavaScript; MySQL; HTML/CSS; Laravel,PHP; JavaScript; MySQL,4,2,Master,Licence,Français (intermédiaire),Français (courant),55.0
Developpeur Mobile,Dart; Git; Flutter,UX Research,1,2,Master,Bac,Français (avancé),Français (avancé); Anglais (intermédiaire),37.5
Graphiste,Illustrator; Branding; Canva; Typographie; Photoshop,Typographie; InDesign; Illustrator,1,2,Bac,Licence,Français (avancé),Français (avancé),67.0
Graphiste,InDesign; Branding; Photoshop; Canva; Illustrator,Aucune information,4,6,Master,Master,Français (intermédiaire),Français (intermédiaire),45.0
Data Analyst,Python; Excel; SQL; Data Visualization,Aucune information,2,0,Master,Licence,Anglais (avancé); Français (avancé),Français (courant); Anglais (débutant),17.5
Developpeur Mobile,Firebase; Java; Git,UX Research,4,5,Bac,Licence,Anglais (avancé); Français (courant),Français (courant); Anglais (débutant),45.0
Data Analyst,Python; Pandas; Excel; SQL; Data Visualization,Python; Pandas; Power BI; Excel; SQL; Data Visualization,1,4,Licence,Bac,Anglais (débutant); Français (intermédiaire),Français (avancé),87.5
Graphiste,Photoshop; InDesign; Branding; Typographie,Canva; Photoshop; InDesign; Illustrator,2,2,Master,Master,Français (intermédiaire),Français (courant),72.5
Developpeur Mobile,Java; Firebase; Kotlin; Flutter; Dart,Aucune information,4,3,Bac,Master,Français (avancé); Anglais (avancé),Français (courant),35.0
Developpeur Web,MySQL; JavaScript; HTML/CSS,MySQL; HTML/CSS; Git; PHP; JavaScript; Laravel; Communication,1,1,Licence,Bac,Anglais (courant),Français (courant),82.5
Data Analyst,Pandas; Excel; Python; Data Visualization; Power BI; SQL,Data Visualization; Python; SQL; Power BI; Copywriting; Dart,3,1,Licence,Bac,Anglais (débutant),Français (courant); Anglais (intermédiaire),60.8
SEO/SEA,Search Console; SEM; Google Analytics,Search Console; Google Analytics; SEM,2,2,Bac,Master,Anglais (intermédiaire); Français (intermédiaire),Français (avancé); Anglais (débutant),100.0
Community Manager,Copywriting; Facebook; Analytics; TikTok,Copywriting; Facebook; Instagram; Canva; Analytics; TikTok,2,1,Licence,Master,Français (avancé); Anglais (débutant),Français (intermédiaire); Anglais (débutant),90.0
Data Analyst,Pandas; Python; Data Visualization; Excel; SQL; Power BI,Excel; Photoshop,3,7,Licence,Licence,Anglais (courant),Français (courant),44.2
Graphiste,Typographie; Canva; InDesign; Photoshop; Illustrator; Branding,Canva; Illustrator; Branding,3,1,Master,Licence,Français (avancé),Français (intermédiaire),51.7
UI/UX Designer,Photoshop; UX Research; Prototypage; Figma; Illustrator,Adobe XD; UX Research; Illustrator; Figma; Photoshop; WordPress,4,4,Licence,Master,Anglais (courant),Français (courant),79.0
Developpeur Web,PHP; Laravel; HTML/CSS; Git; JavaScript; MySQL,Aucune information,3,6,Bac,Licence,Français (courant); Anglais (intermédiaire),Français (avancé); Anglais (débutant),45.0
Developpeur Web,HTML/CSS; MySQL; Git,Git; Laravel; JavaScript; MySQL; PHP; HTML/CSS,4,4,Master,Master,Anglais (avancé); Français (intermédiaire),Français (courant); Anglais (avancé),100.0
Social Media Manager,Instagram; Meta Ads; TikTok; Facebook; LinkedIn; Analytics,TikTok; LinkedIn,4,1,Licence,Bac,Anglais (avancé),Français (intermédiaire); Anglais (débutant),40.8
Data Analyst,Pandas; Data Visualization; Excel; Python; SQL,Power BI; Data Visualization,3,4,Bac,Licence,Anglais (courant),Français (courant),46.0
Graphiste,Illustrator; Photoshop; Typographie; InDesign; Branding,Aucune information,1,6,Master,Bac,Français (avancé),Français (courant),37.5
Community Manager,Analytics; Canva; Instagram; Copywriting; TikTok; Facebook,Aucune information,1,2,Licence,Master,Anglais (débutant); Français (courant),Français (intermédiaire),40.0
Developpeur Mobile,Kotlin; Flutter; Firebase; Java,Aucune information,3,5,Licence,Master,Français (intermédiaire); Anglais (courant),Français (intermédiaire); Anglais (avancé),45.0
Developpeur Web,Laravel; HTML/CSS; Git,Laravel; Git; HTML/CSS,2,2,Master,Bac,Anglais (débutant),Français (intermédiaire); Anglais (courant),92.5
Graphiste,Canva; Photoshop; Typographie,Typographie; InDesign; Canva,2,1,Master,Master,Français (intermédiaire),Français (courant),71.7
Data Analyst,Excel; SQL; Data Visualization; Power BI,Python; SQL; TikTok,4,7,Licence,Licence,Anglais (courant); Français (intermédiaire),Français (avancé); Anglais (avancé),58.8
UI/UX Designer,Photoshop; Figma; UX Research; Illustrator; Adobe XD; Prototypage,Photoshop; Prototypage; Git,4,4,Licence,Licence,Français (courant); Anglais (intermédiaire),Français (courant); Anglais (courant),63.3
SEO/SEA,SEM; Search Console; Google Analytics; SEO; Google Ads; Keyword Research,SEM; Google Ads; Keyword Research,2,6,Licence,Master,Anglais (courant),Français (intermédiaire); Anglais (avancé),72.5
Social Media Manager,Meta Ads; Analytics; Facebook; TikTok,Meta Ads; Facebook,1,4,Licence,Bac,Anglais (débutant),Français (avancé); Anglais (courant),65.0
Data Analyst,Data Visualization; SQL; Excel; Python; Pandas; Power BI,Aucune information,4,1,Bac,Master,Français (intermédiaire),Français (intermédiaire); Anglais (courant),30.0
UI/UX Designer,Photoshop; Figma; Adobe XD; UX Research; Prototypage,Illustrator; Adobe XD; Photoshop; Figma; UX Research; Power BI; WordPress,1,5,Licence,Licence,Anglais (courant),Français (intermédiaire); Anglais (courant),89.0
UI/UX Designer,UX Research; Prototypage; Illustrator,UX Research; Figma; Photoshop; Adobe XD,2,0,Master,Licence,Anglais (intermédiaire); Français (courant),Français (intermédiaire),30.8
SEO/SEA,SEM; SEO; Google Ads; Search Console; Google Analytics,Aucune information,4,5,Licence,Licence,Anglais (avancé),Français (courant),35.0
Developpeur Mobile,Dart; Java; Flutter; Kotlin; Git; Firebase,Dart; Flutter,3,1,Licence,Licence,Anglais (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),50.0
SEO/SEA,Keyword Research; Search Console; Google Ads; SEO; SEM; Google Analytics,Search Console; Keyword Research,4,6,Licence,Bac,Français (courant); Anglais (avancé),Français (intermédiaire); Anglais (débutant),55.8
Data Analyst,Pandas; Power BI; Excel; Data Visualization; Python; SQL,Data Visualization; Python; Power BI,4,2,Master,Master,Français (courant); Anglais (débutant),Français (intermédiaire),57.5
Chef de projet digital,Agile; ClickUp; Gestion de projet,Agile; Asana; Communication,2,4,Master,Master,Français (avancé); Anglais (débutant),Français (courant),58.3
Social Media Manager,Meta Ads; Instagram; Analytics; LinkedIn; Facebook,TikTok,3,5,Master,Bac,Anglais (courant); Français (avancé),Français (avancé); Anglais (courant),37.5
Social Media Manager,Instagram; Analytics; LinkedIn; Facebook; TikTok; Meta Ads,Facebook; Analytics,2,4,Bac,Bac,Anglais (intermédiaire),Français (courant); Anglais (débutant),63.3
Graphiste,Typographie; Photoshop; Illustrator; Canva; InDesign,Canva; InDesign; Illustrator; Photoshop,4,0,Master,Master,Français (courant),Français (avancé),69.0
UI/UX Designer,Prototypage; Figma; Adobe XD; Photoshop; Illustrator,Figma,3,1,Master,Bac,Anglais (courant); Français (intermédiaire),Français (avancé),30.2
UI/UX Designer,Illustrator; Figma; Photoshop; Prototypage,Photoshop; Prototypage,1,1,Bac,Master,Anglais (courant); Français (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),72.5
Chef de projet digital,Asana; Gestion de projet; Communication; ClickUp; Agile,ClickUp; Communication; Asana; Gestion de projet; Search Console,2,5,Bac,Bac,Français (intermédiaire); Anglais (débutant),Français (courant); Anglais (courant),89.0
Chef de projet digital,Communication; ClickUp; Scrum; Asana; Agile,ClickUp,4,3,Licence,Bac,Français (avancé),Français (courant); Anglais (avancé),43.5
Social Media Manager,Meta Ads; Facebook; TikTok; Analytics; Instagram,Analytics; Facebook,4,6,Licence,Bac,Anglais (débutant),Français (courant),49.5
Chef de projet digital,Scrum; ClickUp; Agile; Gestion de projet; Communication; Asana,Aucune information,2,1,Master,Bac,Français (intermédiaire),Français (courant); Anglais (avancé),27.5
Developpeur Mobile,Dart; Java; Flutter; Kotlin; Firebase,Kotlin; Flutter; Java; Illustrator; Pandas,2,2,Master,Bac,Français (avancé); Anglais (débutant),Français (courant); Anglais (courant),70.5
Content Manager,Analytics; Content Strategy; Canva; WordPress,Canva; Content Strategy,1,0,Licence,Master,Anglais (courant); Français (courant),Français (intermédiaire),47.5
Developpeur Mobile,Kotlin; Flutter; Dart; Git,Firebase; Git; Flutter; Kotlin; Java,1,5,Bac,Master,Français (avancé),Français (avancé),86.2
UI/UX Designer,Figma; Illustrator; Photoshop; UX Research; Adobe XD,Adobe XD; Photoshop; UX Research; Figma; Illustrator; Prototypage,2,2,Master,Bac,Anglais (intermédiaire); Français (avancé),Français (courant); Anglais (avancé),92.5
Social Media Manager,Analytics; Instagram; Facebook; TikTok; Meta Ads; LinkedIn,TikTok,2,4,Master,Master,Anglais (intermédiaire); Français (intermédiaire),Français (courant),49.2
Data Analyst,Excel; SQL; Power BI; Pandas,Power BI,1,5,Bac,Master,Anglais (débutant),Français (avancé); Anglais (débutant),58.8
Developpeur Web,HTML/CSS; PHP; MySQL; JavaScript; Git,MySQL,4,3,Licence,Master,Anglais (débutant); Français (intermédiaire),Français (intermédiaire); Anglais (débutant),51.0
Content Manager,Content Strategy; Analytics; Canva; Copywriting; SEO; WordPress,Canva; Copywriting; WordPress; Analytics; Content Strategy,2,6,Licence,Licence,Anglais (débutant); Français (intermédiaire),Français (intermédiaire),85.8
Developpeur Web,JavaScript; Laravel; MySQL; Git,MySQL; PHP; JavaScript; Laravel; Git,2,3,Master,Licence,Français (intermédiaire),Français (courant); Anglais (intermédiaire),92.5
UI/UX Designer,Adobe XD; Photoshop; Prototypage; Figma,Aucune information,2,1,Bac,Master,Anglais (courant),Français (courant); Anglais (courant),35.0
Chef de projet digital,Asana; Agile; ClickUp; Communication,ClickUp; Communication; Scrum; Agile; Gestion de projet,4,6,Master,Licence,Anglais (courant),Français (intermédiaire),68.8
SEO/SEA,Google Analytics; SEM; SEO,Google Analytics; Search Console,2,0,Master,Master,Français (courant),Français (avancé); Anglais (intermédiaire),43.3
Developpeur Mobile,Dart; Git; Kotlin; Flutter,Kotlin; Dart; Git; Facebook,2,5,Licence,Licence,Français (courant); Anglais (avancé),Français (avancé); Anglais (courant),86.2
UI/UX Designer,UX Research; Prototypage; Figma; Adobe XD; Illustrator; Photoshop,Adobe XD; Prototypage,1,5,Master,Licence,Français (intermédiaire); Anglais (courant),Français (avancé); Anglais (courant),55.8
Developpeur Web,Git; MySQL; PHP; JavaScript; Laravel,Laravel; Git; JavaScript; MySQL; PHP; HTML/CSS; Scrum; Branding,3,1,Licence,Master,Anglais (débutant); Français (avancé),Français (intermédiaire),81.7
Developpeur Web,MySQL; PHP; JavaScript; Laravel; HTML/CSS; Git,HTML/CSS; MySQL,1,0,Master,Master,Anglais (intermédiaire); Français (avancé),Français (intermédiaire); Anglais (intermédiaire),43.3
SEO/SEA,SEM; Google Analytics; Keyword Research,SEO; Keyword Research; SEM; Search Console; Google Analytics,1,1,Master,Master,Anglais (débutant),Français (avancé); Anglais (courant),100.0
Community Manager,Canva; Copywriting; Instagram; TikTok; Analytics,Copywriting,1,5,Bac,Bac,Anglais (courant); Français (intermédiaire),Français (courant); Anglais (courant),56.0
Community Manager,Canva; Facebook; Instagram; TikTok; Analytics; Copywriting,Copywriting; Analytics,4,6,Bac,Bac,Anglais (courant),Français (courant),53.3
Content Manager,SEO; Canva; Copywriting; Content Strategy; WordPress; Analytics,WordPress; Canva; Agile,1,1,Master,Licence,Français (avancé); Anglais (débutant),Français (intermédiaire); Anglais (intermédiaire),55.8
Social Media Manager,Instagram; Analytics; Facebook,Analytics; Meta Ads; LinkedIn; TikTok; Instagram,3,2,Bac,Master,Anglais (avancé),Français (avancé); Anglais (courant),75.0
Social Media Manager,TikTok; Analytics; LinkedIn; Facebook; Instagram,LinkedIn; Facebook,4,4,Bac,Bac,Anglais (débutant),Français (courant); Anglais (débutant),67.0
Developpeur Mobile,Kotlin; Java; Firebase; Dart,Java,3,4,Licence,Licence,Anglais (débutant); Français (intermédiaire),Français (courant); Anglais (courant),58.8
Developpeur Web,JavaScript; Git; Laravel; HTML/CSS; PHP,Laravel; HTML/CSS; PHP,4,1,Master,Bac,Français (intermédiaire),Français (intermédiaire),55.5
SEO/SEA,Google Ads; SEM; Google Analytics; Search Console; Keyword Research,SEM; Search Console; Keyword Research; Google Ads; Google Analytics; SEO,1,1,Master,Licence,Anglais (intermédiaire); Français (avancé),Français (intermédiaire); Anglais (débutant),92.5
Social Media Manager,Analytics; Instagram; Facebook; Meta Ads; TikTok; LinkedIn,Meta Ads,4,0,Bac,Master,Français (avancé),Français (avancé); Anglais (débutant),34.2
Social Media Manager,Instagram; Meta Ads; LinkedIn; TikTok,Meta Ads; Instagram; Analytics; LinkedIn,1,6,Licence,Bac,Anglais (avancé),Français (intermédiaire); Anglais (avancé),78.8
UI/UX Designer,Figma; UX Research; Adobe XD; Photoshop; Illustrator,Prototypage; Figma; Photoshop,4,1,Bac,Bac,Français (avancé); Anglais (avancé),Français (intermédiaire); Anglais (intermédiaire),52.0
Developpeur Web,JavaScript; Git; HTML/CSS; PHP; Laravel; MySQL,HTML/CSS; PHP; MySQL,1,6,Master,Master,Anglais (courant),Français (courant),62.5
Data Analyst,Power BI; Python; Pandas; Data Visualization; SQL; Excel,Power BI,2,5,Licence,Master,Anglais (avancé); Français (avancé),Français (intermédiaire),49.2
Chef de projet digital,Asana; Communication; Gestion de projet; ClickUp,Agile; Scrum; Gestion de projet; Asana,4,3,Licence,Licence,Anglais (avancé); Français (intermédiaire),Français (avancé); Anglais (avancé),67.5
